family	group	method	percent_ref	avg_BS
family_211	group3 len = 50	Supermatrix-ME	0.531666666666667	0.459572916666667
family_212	group3 len = 50	Supermatrix-ME	0.627333333333333	0.456166666666667
family_213	group3 len = 50	Supermatrix-ME	0.679	0.527645833333333
family_214	group3 len = 50	Supermatrix-ME	0.731333333333333	0.500958333333333
family_215	group3 len = 50	Supermatrix-ME	0.726	0.444447916666667
family_216	group3 len = 50	Supermatrix-ME	0.907	0.71559375
family_217	group3 len = 50	Supermatrix-ME	0.897	0.643114583333333
family_218	group3 len = 50	Supermatrix-ME	0.646333333333333	0.47453125
family_219	group3 len = 50	Supermatrix-ME	0.706666666666667	0.590385416666667
family_220	group3 len = 50	Supermatrix-ME	0.824	0.566791666666667
family_221	group3 len = 50	Supermatrix-ME	0.554333333333333	0.47234375
family_222	group3 len = 50	Supermatrix-ME	0.659	0.539197916666667
family_223	group3 len = 50	Supermatrix-ME	0.790666666666667	0.690510416666667
family_224	group3 len = 50	Supermatrix-ME	0.845	0.528541666666667
family_225	group3 len = 50	Supermatrix-ME	0.810666666666667	0.503666666666667
family_226	group3 len = 50	Supermatrix-ME	0.588333333333333	0.506395833333333
family_227	group3 len = 50	Supermatrix-ME	0.827333333333333	0.60084375
family_228	group3 len = 50	Supermatrix-ME	0.821333333333333	0.512520833333333
family_229	group3 len = 50	Supermatrix-ME	0.683	0.530010416666667
family_230	group3 len = 50	Supermatrix-ME	0.657333333333333	0.542427083333333
family_231	group3 len = 50	Supermatrix-ME	0.680333333333333	0.37609375
family_232	group3 len = 50	Supermatrix-ME	0.724666666666667	0.547208333333333
family_233	group3 len = 50	Supermatrix-ME	0.684666666666667	0.500833333333333
family_234	group3 len = 50	Supermatrix-ME	0.652333333333333	0.42934375
family_235	group3 len = 50	Supermatrix-ME	0.506666666666667	0.485291666666667
family_236	group3 len = 50	Supermatrix-ME	0.758666666666667	0.419822916666667
family_237	group3 len = 50	Supermatrix-ME	0.825666666666667	0.493427083333333
family_238	group3 len = 50	Supermatrix-ME	0.758	0.520177083333333
family_239	group3 len = 50	Supermatrix-ME	0.652666666666667	0.489395833333333
family_240	group3 len = 50	Supermatrix-ME	0.624666666666667	0.5050625
family_241	group3 len = 50	Supermatrix-ME	0.683333333333333	0.490739583333333
family_242	group3 len = 50	Supermatrix-ME	0.759	0.571083333333333
family_243	group3 len = 50	Supermatrix-ME	0.719	0.482427083333333
family_244	group3 len = 50	Supermatrix-ME	0.721	0.601541666666667
family_245	group3 len = 50	Supermatrix-ME	0.870666666666667	0.617552083333333
family_246	group3 len = 50	Supermatrix-ME	0.815333333333333	0.566333333333333
family_247	group3 len = 50	Supermatrix-ME	0.787666666666667	0.587572916666667
family_248	group3 len = 50	Supermatrix-ME	0.620333333333333	0.4951875
family_249	group3 len = 50	Supermatrix-ME	0.850333333333333	0.585604166666667
